"Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"Michael Bradley","TOR","2019","M","6000000","6500000","2019-09-13"
"Michael Bradley","TOR","2019","M","6000000","6428571","2019-06-01"
"Carlos Vela","LAFC","2019","M","4500000","6300000","2019-06-01"
"Carlos Vela","LAFC","2019","M","4500000","6300000","2019-09-13"
"Bastian Schweinsteiger","CHI","2019","M","5600000.04","5600000.04","2019-09-13"
"Bastian Schweinsteiger","CHI","2019","M","5600000","5600000","2019-06-01"
"Ignacio Piatti","MTL","2019","M","530000.04","4443333.37","2019-09-13"
"Ignacio Piatti","MTL","2019","M","530000","4443333","2019-06-01"
"Alejandro Pozuelo","TOR","2019","M","3800000.04","3800000.04","2019-09-13"
"Alejandro Pozuelo","TOR","2019","M","3800000","3800000","2019-06-01"
"Sebastián Blanco","POR","2019","M","2740008","2853341.33","2019-09-13"
"Nicolás Lodeiro","SEA","2019","M","2000000.04","2502500.04","2019-09-13"
"Nicolás Lodeiro","SEA","2019","M","2000000","2502500","2019-06-01"
"Nani","ORL","2019","M","2333333","2486250","2019-06-01"
"Nani","ORL","2019","M","2333333.04","2486249.7","2019-09-13"
"Diego Valeri","POR","2019","M","2320000","2420000","2019-06-01"
"Diego Valeri","POR","2019","M","2319999.96","2419999.96","2019-09-13"
"Carles Gil","NER","2019","M","2100000","2337500","2019-06-01"
"Carles Gil","NER","2019","M","2100000","2337500","2019-09-13"
"Marco Fabián","PHI","2019","M","2000727.24","2274087.24","2019-09-13"
"Marco Fabián","PHI","2019","M","2000727","2274087","2019-06-01"
"Nicolás Gaitán","CHI","2019","M","1400004","2197504","2019-06-01"
"Nicolás Gaitán","CHI","2019","M","1400004","2197504","2019-09-13"
"Albert Rusnák","RSL","2019","M","1800000","2001667","2019-06-01"
"Albert Rusnák","RSL","2019","M","1800000","2001666.67","2019-09-13"
"Maximiliano Moralez","NYC","2019","M","2000000.04","2000000.04","2019-09-13"
"Jonathan dos Santos","LAG","2019","M","2000000.04","2000000.04","2019-09-13"
"Maximiliano Moralez","NYC","2019","M","2000000","2000000","2019-06-01"
"Jonathan dos Santos","LAG","2019","M","2000000","2000000","2019-06-01"
"Romain Alessandrini","LAG","2019","M","1610004","1940004","2019-09-13"
"Romain Alessandrini","LAG","2019","M","1539996","1869996","2019-06-01"
"Darwin Quintero","MIN","2019","M","1750000.08","1750000.08","2019-09-13"
"Darwin Quintero","MIN","2019","M","1750000","1750000","2019-06-01"
"Johnny Russell","SKC","2019","M","1700000","1700000","2019-06-01"
"Felipe Gutiérrez","SKC","2019","M","1600000","1650000","2019-06-01"
"Felipe Gutiérrez","SKC","2019","M","1599999.96","1649999.96","2019-09-13"
"Valeri Qazaishvili","SJE","2019","M","1475004","1604042.36","2019-09-13"
"Valeri Qazaishvili","SJE","2019","M","1475004","1604042","2019-06-01"
"Kenny Saief","CIN","2019","M","1233000","1511767","2019-06-01"
"Johnny Russell","SKC","2019","M","1449999.96","1449999.96","2019-09-13"
"Ezequiel Barco","ATL","2019","M","1425000","1425000","2019-06-01"
"Ezequiel Barco","ATL","2019","M","1425000","1425000","2019-09-13"
"Saphir Taïder","MTL","2019","M","1400000.04","1400000.04","2019-09-13"
"Saphir Taïder","MTL","2019","M","1400000","1400000","2019-06-01"
"Aleksandar Katai","CHI","2019","M","1260000","1380333.33","2019-09-13"
"Aleksandar Katai","CHI","2019","M","1260000","1380333","2019-06-01"
"Sebastián Blanco","POR","2019","M","1300008","1375008","2019-06-01"
"André Horta","LAFC","2019","M","1200000","1277500","2019-06-01"
"Brian Fernández","POR","2019","M","1200000","1275800","2019-06-01"
"Brian Fernández","POR","2019","M","1200000","1275800","2019-09-13"
"Alejandro Bedoya","PHI","2019","M","1200000","1266250","2019-06-01"
"Alejandro Bedoya","PHI","2019","M","1200000","1266250","2019-09-13"
"David Accam","CLB","2019","M","1010004","1137920","2019-06-01"
"David Accam","CLB","2019","M","1010004","1137920","2019-09-13"
"Federico Higuaín","CLB","2019","M","1100000.04","1100000.04","2019-09-13"
"Sacha Kljestan","ORL","2019","M","1025000.04","1100000.04","2019-09-13"
"Federico Higuaín","CLB","2019","M","1100000","1100000","2019-06-01"
"Sacha Kljestan","ORL","2019","M","1025000","1100000","2019-06-01"
"Víctor Rodríguez","SEA","2019","M","1000000","1087500","2019-06-01"
"Víctor Rodríguez","SEA","2019","M","999999.96","1087499.96","2019-09-13"
"Damir Kreilach","RSL","2019","M","968769","1082102","2019-06-01"
"Damir Kreilach","RSL","2019","M","968768.64","1082101.97","2019-09-13"
"Mauricio Pereyra","ORL","2019","M","960000","1078000","2019-09-13"
"Diego Rossi","LAFC","2019","M","1000000.08","1052000.08","2019-09-13"
"Diego Rossi","LAFC","2019","M","1000000","1052000","2019-06-01"
"Robin Lod","MIN","2019","M","849996","952496","2019-09-13"
"Alexander Ring","NYC","2019","M","850000","945000","2019-06-01"
"Alexander Ring","NYC","2019","M","849999.96","944999.96","2019-09-13"
"Pity Martínez","ATL","2019","M","900000","900000","2019-06-01"
"Pity Martínez","ATL","2019","M","900000","900000","2019-09-13"
"Jan Gregus","MIN","2019","M","750000","883500","2019-06-01"
"Jan Gregus","MIN","2019","M","750000","883500","2019-09-13"
"Jesús Medina","NYC","2019","M","750000","870833.33","2019-09-13"
"Jesús Medina","NYC","2019","M","750000","870833","2019-06-01"
"Pedro Santos","CLB","2019","M","817560","864560","2019-06-01"
"Pedro Santos","CLB","2019","M","817560","864560","2019-09-13"
"Joao Plata","RSL","2019","M","725004","856254","2019-06-01"
"Joao Plata","RSL","2019","M","725004","856254","2019-09-13"
"Héctor Villalba","ATL","2019","M","722500","830250","2019-06-01"
"Héctor Villalba","ATL","2019","M","722499.96","830249.96","2019-09-13"
"Roland Lamah","CIN","2019","M","750000","806250","2019-06-01"
"Roland Lamah","CIN","2019","M","750000","806250","2019-09-13"
"Roger Espinoza","SKC","2019","M","800000.04","800000.04","2019-09-13"
"Roger Espinoza","SKC","2019","M","800000","800000","2019-06-01"
"Alejandro Romero Gamarra","NYRB","2019","M","800000","800000","2019-06-01"
"Alejandro Romero Gamarra","NYRB","2019","M","799999.92","799999.92","2019-09-13"
"Emanuel Cecchini","SEA","2019","M","648000","789000","2019-09-13"
"Zoltán Stieber","DCU","2019","M","787500","787500","2019-06-01"
"Jonathan Osorio","TOR","2019","M","750000","776250","2019-06-01"
"Jonathan Osorio","TOR","2019","M","750000","776250","2019-09-13"
"Daniel Royer","NYRB","2019","M","700000","768750","2019-06-01"
"Daniel Royer","NYRB","2019","M","699999.96","768749.96","2019-09-13"
"Jon Erice","VAN","2019","M","654546","752364","2019-06-01"
"Jon Erice","VAN","2019","M","654545.52","752363.7","2019-09-13"
"Yohan Croizet","SKC","2019","M","700008","730008","2019-06-01"
"Edwin Gyasi","FCD","2019","M","570000","719225","2019-09-13"
"Carlos Fierro","SJE","2019","M","660000","718800","2019-09-13"
"Josh Sims","NYRB","2019","M","695967.96","710467.96","2019-09-13"
"Paul Arriola","DCU","2019","M","675000","707000","2019-06-01"
"Paul Arriola","DCU","2019","M","675000","707000","2019-09-13"
"Luciano Acosta","DCU","2019","M","600000","702000","2019-06-01"
"Luciano Acosta","DCU","2019","M","600000","702000","2019-09-13"
"Dax McCarty","CHI","2019","M","700000.08","700000.08","2019-09-13"
"Dax McCarty","CHI","2019","M","700000","700000","2019-06-01"
"Justin Meram","ATL","2019","M","650004","678754","2019-06-01"
"Justin Meram","ATL","2019","M","650004","678754","2019-09-13"
"Jamiro Monteiro","PHI","2019","M","618000","671200","2019-09-13"
"Darlington Nagbe","ATL","2019","M","665500","665500","2019-06-01"
"Darlington Nagbe","ATL","2019","M","665499.96","665499.96","2019-09-13"
"Przemyslaw Frankowski","CHI","2019","M","450000","661688","2019-06-01"
"Przemyslaw Frankowski","CHI","2019","M","450000","661687.5","2019-09-13"
"Hwang In-Beom","VAN","2019","M","600000","655000","2019-06-01"
"Hwang In-Beom","VAN","2019","M","600000","655000","2019-09-13"
"Bryan Acosta","FCD","2019","M","600000","650000","2019-06-01"
"Bryan Acosta","FCD","2019","M","600000","650000","2019-09-13"
"Harry Novillo","MTL","2019","M","550000","616667","2019-06-01"
"Cristian Higuita","ORL","2019","M","474996","611663","2019-06-01"
"Cristian Higuita","ORL","2019","M","474996","611662.67","2019-09-13"
"Juan Agudelo","NER","2019","M","575000","605000","2019-06-01"
"Lucas Venuto","VAN","2019","M","550000","600000","2019-06-01"
"Nicolas Benezet","TOR","2019","M","600000","600000","2019-09-13"
"Cristian Roldan","SEA","2019","M","460000","596542","2019-06-01"
"Cristian Roldan","SEA","2019","M","460000.08","596541.68","2019-09-13"
"Haris Medunjanin","PHI","2019","M","550008","595008","2019-06-01"
"Haris Medunjanin","PHI","2019","M","550008","595008","2019-09-13"
"Wil Trapp","CLB","2019","M","549996","593746","2019-06-01"
"Wil Trapp","CLB","2019","M","549996","593746","2019-09-13"
"Santiago Mosquera","FCD","2019","M","500000.04","591400.04","2019-09-13"
"Santiago Mosquera","FCD","2019","M","500000","591400","2019-06-01"
"Favio Álvarez","LAG","2019","M","525000","586250","2019-06-01"
"Favio Álvarez","LAG","2019","M","525000","586250","2019-09-13"
